epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,3800.04,0.71867,0.49286,1.02749,0.8964,0.82842,0.90804,0.66236,0.97515,0.68771,1.20117,0.000284,0.000284,0.000284
132,3828.29,0.70515,0.48292,1.00965,0.87626,0.82632,0.89688,0.65676,0.97872,0.72488,1.19667,0.0002708,0.0002708,0.0002708
133,3856.86,0.70772,0.47826,1.01863,0.90095,0.82211,0.90321,0.65844,0.99712,0.7393,1.20318,0.0002576,0.0002576,0.0002576
134,3886.77,0.70727,0.48614,1.01877,0.87476,0.82947,0.89959,0.65506,0.97702,0.73712,1.20425,0.0002444,0.0002444,0.0002444
135,3914.35,0.69739,0.45961,1.00652,0.88543,0.82737,0.908,0.66282,0.9673,0.72346,1.19677,0.0002312,0.0002312,0.0002312
136,3944.61,0.70707,0.47334,1.01903,0.88166,0.83579,0.90846,0.664,0.96814,0.69621,1.19216,0.000218,0.000218,0.000218
137,3973.07,0.70658,0.47955,1.01467,0.90115,0.83263,0.91184,0.66155,0.98454,0.68798,1.21675,0.0002048,0.0002048,0.0002048
138,4001.9,0.69014,0.46283,1.00519,0.88632,0.82067,0.90241,0.6582,0.97667,0.72066,1.19623,0.0001916,0.0001916,0.0001916
139,4031.81,0.68475,0.45648,1.01064,0.88982,0.84211,0.90651,0.66614,0.96088,0.70372,1.19327,0.0001784,0.0001784,0.0001784
140,4059.77,0.67027,0.45598,0.99886,0.88141,0.84494,0.90855,0.6667,0.96421,0.68873,1.19659,0.0001652,0.0001652,0.0001652
141,4091.76,0.61347,0.37616,0.94974,0.90041,0.82795,0.90204,0.64885,0.99344,0.6943,1.2278,0.000152,0.000152,0.000152
142,4119.49,0.59736,0.35552,0.93346,0.91134,0.83318,0.90778,0.65879,0.98064,0.67618,1.23197,0.0001388,0.0001388,0.0001388
143,4147.74,0.58729,0.3495,0.94018,0.90644,0.83625,0.91163,0.66137,0.9826,0.69994,1.22473,0.0001256,0.0001256,0.0001256
144,4176.79,0.58655,0.3447,0.93605,0.9101,0.83368,0.91342,0.66825,0.97846,0.68704,1.22834,0.0001124,0.0001124,0.0001124
145,4204.8,0.59887,0.35732,0.93786,0.89706,0.8439,0.91509,0.66521,0.97354,0.68415,1.215,9.92e-05,9.92e-05,9.92e-05
146,4234.7,0.56318,0.33155,0.91961,0.89955,0.83894,0.91318,0.66915,0.96918,0.69104,1.21485,8.6e-05,8.6e-05,8.6e-05
147,4262.64,0.57724,0.34489,0.9369,0.90279,0.83474,0.90739,0.66564,0.97468,0.71412,1.22001,7.28e-05,7.28e-05,7.28e-05
148,4292.56,0.56746,0.32989,0.92091,0.89554,0.83368,0.90718,0.66417,0.97548,0.70533,1.22254,5.96e-05,5.96e-05,5.96e-05
149,4320.11,0.57016,0.33695,0.93176,0.88753,0.83899,0.90545,0.66064,0.98005,0.71793,1.22758,4.64e-05,4.64e-05,4.64e-05
150,4349.93,0.56376,0.33121,0.92954,0.89715,0.83474,0.90782,0.66541,0.97393,0.71549,1.2222,3.32e-05,3.32e-05,3.32e-05
