epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,4694.21,0.78958,0.55956,1.15193,0.86055,0.80546,0.87635,0.63176,1.00322,0.76019,1.45212,0.0003896,0.0003896,0.0003896
124,4732.37,0.78025,0.56697,1.14241,0.82824,0.82632,0.87025,0.64087,0.96124,0.76113,1.40876,0.0003764,0.0003764,0.0003764
125,4770.75,0.80175,0.56724,1.16211,0.86653,0.77158,0.86884,0.63674,0.97593,0.78534,1.42503,0.0003632,0.0003632,0.0003632
126,4809.56,0.77852,0.56049,1.13556,0.87744,0.78526,0.87602,0.63515,0.99587,0.78428,1.45314,0.00035,0.00035,0.00035
127,4848.54,0.77415,0.56093,1.14745,0.88795,0.77263,0.8678,0.63402,0.97711,0.76456,1.4439,0.0003368,0.0003368,0.0003368
128,4886.8,0.74606,0.52402,1.13075,0.89546,0.7574,0.86254,0.63234,0.96753,0.77714,1.43042,0.0003236,0.0003236,0.0003236
129,4924.39,0.76993,0.55017,1.13818,0.87768,0.80064,0.8898,0.65398,0.95495,0.70405,1.41004,0.0003104,0.0003104,0.0003104
130,4962.31,0.77499,0.53525,1.16011,0.85006,0.78105,0.87175,0.63429,1.014,0.77569,1.47321,0.0002972,0.0002972,0.0002972
131,5000.4,0.76722,0.54148,1.15102,0.85947,0.77895,0.87368,0.64228,0.97503,0.7911,1.41842,0.000284,0.000284,0.000284
132,5038.61,0.75755,0.52857,1.12068,0.84954,0.80421,0.88694,0.63449,1.01064,0.75168,1.4468,0.0002708,0.0002708,0.0002708
133,5076.48,0.76023,0.52085,1.13949,0.85814,0.79593,0.88379,0.64656,0.96916,0.74034,1.41963,0.0002576,0.0002576,0.0002576
134,5114.98,0.75424,0.54191,1.13674,0.84733,0.80036,0.87733,0.64158,0.97126,0.76686,1.42008,0.0002444,0.0002444,0.0002444
135,5153.09,0.73703,0.50853,1.1206,0.87598,0.78,0.88068,0.64076,0.97122,0.76088,1.4288,0.0002312,0.0002312,0.0002312
136,5190.46,0.76283,0.52862,1.13722,0.86978,0.77336,0.87789,0.64294,0.97745,0.75952,1.43474,0.000218,0.000218,0.000218
137,5228.09,0.7495,0.52007,1.12295,0.86501,0.80105,0.89192,0.64277,0.99712,0.7346,1.44564,0.0002048,0.0002048,0.0002048
138,5265.98,0.72781,0.51146,1.11219,0.87278,0.79263,0.891,0.64653,0.98366,0.74188,1.43719,0.0001916,0.0001916,0.0001916
139,5304.23,0.72319,0.50197,1.10758,0.8674,0.79874,0.88366,0.6458,0.9791,0.73391,1.43048,0.0001784,0.0001784,0.0001784
140,5342.61,0.7164,0.50188,1.1126,0.87899,0.77988,0.88862,0.64942,0.99039,0.73478,1.45263,0.0001652,0.0001652,0.0001652
141,5383.81,0.64335,0.39439,1.04461,0.88844,0.77125,0.88638,0.64642,0.98781,0.7154,1.45921,0.000152,0.000152,0.000152
142,5421.95,0.62965,0.38146,1.03804,0.86986,0.78802,0.88411,0.64202,0.98939,0.75233,1.48226,0.0001388,0.0001388,0.0001388
143,5460.02,0.62922,0.37394,1.04146,0.87584,0.78316,0.88322,0.64418,0.99245,0.74319,1.48059,0.0001256,0.0001256,0.0001256
144,5497.91,0.6237,0.37013,1.03088,0.87243,0.78464,0.8804,0.64238,0.9974,0.76233,1.48893,0.0001124,0.0001124,0.0001124
145,5535.85,0.63423,0.38351,1.04094,0.83969,0.81579,0.88813,0.64566,1.0001,0.7496,1.49376,9.92e-05,9.92e-05,9.92e-05
146,5573.05,0.61116,0.35459,1.02782,0.86505,0.81642,0.89662,0.65327,0.98802,0.71747,1.48581,8.6e-05,8.6e-05,8.6e-05
147,5611.29,0.61996,0.36703,1.0418,0.85287,0.82983,0.89742,0.65742,0.98875,0.71094,1.48091,7.28e-05,7.28e-05,7.28e-05
148,5648.94,0.60618,0.35505,1.01574,0.85136,0.82632,0.89562,0.65135,1.00002,0.72821,1.49411,5.96e-05,5.96e-05,5.96e-05
149,5686.69,0.59919,0.35884,1.01903,0.85682,0.81158,0.89353,0.6502,0.99213,0.74053,1.49151,4.64e-05,4.64e-05,4.64e-05
150,5724.68,0.59839,0.35228,1.02504,0.88684,0.78947,0.89502,0.65498,0.98866,0.73567,1.48066,3.32e-05,3.32e-05,3.32e-05
