epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,2573.28,0.93241,0.69602,1.12182,0.88371,0.82526,0.89611,0.63168,1.01116,0.75604,1.1849,0.0007328,0.0007328,0.0007328
98,2599.81,0.94434,0.69796,1.12433,0.88089,0.82,0.88555,0.61742,1.02402,0.802,1.21838,0.0007196,0.0007196,0.0007196
99,2625.53,0.8986,0.68598,1.09517,0.87494,0.82477,0.88839,0.63834,0.98421,0.76554,1.1705,0.0007064,0.0007064,0.0007064
100,2652.33,0.92322,0.69015,1.11997,0.89696,0.81556,0.88626,0.63853,0.989,0.75565,1.18405,0.0006932,0.0006932,0.0006932
101,2677.53,0.90991,0.67067,1.10583,0.89505,0.81158,0.88989,0.62963,1.02555,0.7977,1.20939,0.00068,0.00068,0.00068
102,2705.65,0.88802,0.66981,1.10724,0.92617,0.79225,0.89635,0.64194,0.98731,0.74985,1.17614,0.0006668,0.0006668,0.0006668
103,2730.91,0.90382,0.67472,1.11894,0.92802,0.78632,0.89176,0.63939,1.01262,0.75657,1.19071,0.0006536,0.0006536,0.0006536
104,2758.77,0.89936,0.66206,1.09162,0.90003,0.83053,0.89378,0.64479,1.01407,0.75894,1.19646,0.0006404,0.0006404,0.0006404
105,2784.01,0.89576,0.65994,1.10148,0.91091,0.79684,0.88782,0.63127,1.00372,0.78363,1.19544,0.0006272,0.0006272,0.0006272
106,2810.52,0.87526,0.65583,1.10263,0.90274,0.80421,0.88862,0.64564,0.97414,0.78696,1.15815,0.000614,0.000614,0.000614
107,2836.47,0.89049,0.65507,1.11136,0.92275,0.79895,0.89343,0.64032,1.01711,0.77057,1.19648,0.0006008,0.0006008,0.0006008
108,2862.18,0.87997,0.64239,1.08817,0.90485,0.79474,0.89069,0.64624,0.99531,0.76044,1.18399,0.0005876,0.0005876,0.0005876
109,2889.42,0.88782,0.65077,1.09702,0.91061,0.81158,0.90033,0.6478,1.00619,0.72054,1.18811,0.0005744,0.0005744,0.0005744
110,2914.49,0.88053,0.64571,1.10066,0.92456,0.79982,0.89877,0.65146,0.99098,0.73816,1.17414,0.0005612,0.0005612,0.0005612
111,2942.62,0.86858,0.6315,1.10021,0.90412,0.78632,0.88672,0.64421,0.99295,0.82469,1.17921,0.000548,0.000548,0.000548
112,2967.8,0.86495,0.63215,1.08776,0.9001,0.80615,0.89288,0.64039,1.00812,0.75573,1.20859,0.0005348,0.0005348,0.0005348
113,2995.56,0.84914,0.63091,1.09239,0.89749,0.82022,0.89043,0.64041,0.98677,0.74832,1.19725,0.0005216,0.0005216,0.0005216
114,3020.42,0.86599,0.63191,1.08077,0.92171,0.80842,0.8999,0.64242,1.01742,0.7349,1.21695,0.0005084,0.0005084,0.0005084
115,3047.26,0.88765,0.65287,1.1061,0.90093,0.79451,0.88685,0.64923,0.97385,0.75822,1.1772,0.0004952,0.0004952,0.0004952
116,3073.08,0.85208,0.62478,1.07748,0.90835,0.80526,0.90561,0.65326,0.96413,0.68655,1.17956,0.000482,0.000482,0.000482
117,3099.42,0.86378,0.63473,1.08617,0.87551,0.84397,0.90907,0.655,0.99407,0.70086,1.21717,0.0004688,0.0004688,0.0004688
